Ranking 2023,Country,Score 2023,Political Context 2023,Economic Context 2023,Legal Framework 2023,Safety Score 2023,Sociocultural Context 2023,Difference In Position From 2022,Year 2023,Ranking 2022,Score 2022,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Year 2022
103,Paraguay,55.96,57.06,42.16,70.85,48.51,61.25,-7,2023,96,58.36,54.24,31.12,75.44,65.99,65.0,2022
104,Senegal,55.82,56.43,46.08,55.66,55.51,65.42,-31,2023,73,63.07,59.31,42.13,66.67,74.84,72.43,2022
105,Qatar,55.28,53.13,50.0,38.21,83.93,51.14,14,2023,119,49.03,59.7,46.94,43.86,52.17,42.5,2022
106,Thailand,55.24,59.53,51.47,51.42,57.54,56.25,9,2023,115,50.15,58.99,45.24,47.37,45.5,53.67,2022
107,Greece,55.2,53.31,37.66,61.36,71.44,52.23,1,2023,108,55.52,60.5,38.13,69.54,44.1,65.36,2022
108,Indonesia,54.83,55.16,44.61,63.92,54.49,55.97,9,2023,117,49.27,45.91,41.33,55.7,37.42,66.0,2022
109,Chad,53.73,53.3,52.94,58.63,34.62,69.16,-5,2023,104,56.18,55.88,43.27,60.35,58.21,63.2,2022
110,Peru,52.74,57.99,42.81,63.94,42.0,56.94,-33,2023,77,61.75,66.67,41.84,70.61,66.35,63.0,2022
111,Eswatini,52.66,46.61,43.98,45.28,71.44,56.01,20,2023,131,46.42,41.31,35.03,43.86,61.4,50.5,2022
112,Benin,52.44,48.98,39.83,56.01,53.9,63.49,9,2023,121,48.39,47.73,28.19,57.46,53.1,55.5,2022
113,Mali,52.29,52.63,38.82,55.09,59.88,55.0,-2,2023,111,54.48,35.15,42.6,74.34,41.81,78.5,2022
114,Burundi,52.14,51.5,48.82,55.41,52.84,52.12,-7,2023,107,55.74,50.03,44.67,59.55,77.66,52.78,2022
115,El Salvador,51.36,38.13,41.47,55.85,72.03,49.32,-3,2023,112,54.09,42.94,39.07,63.22,62.37,62.86,2022
116,Kenya,51.15,49.17,40.52,66.82,42.99,56.25,-47,2023,69,64.59,62.42,46.33,72.28,63.92,78.0,2022
117,Bolivia,51.09,46.53,45.72,60.12,46.68,56.4,9,2023,126,47.58,44.55,33.67,58.77,55.89,45.0,2022
118,South Sudan,50.62,49.46,48.32,56.06,51.54,47.73,10,2023,128,47.06,40.48,36.73,52.11,55.37,50.6,2022
119,Lebanon,50.46,51.63,35.69,48.11,58.0,58.86,11,2023,130,46.58,50.91,38.27,50.22,33.02,60.5,2022
120,Equatorial Guinea,50.35,43.85,36.93,57.92,73.47,39.58,21,2023,141,43.96,42.73,24.49,71.15,64.04,44.25,2022
121,Tunisia,50.11,58.13,34.97,49.06,54.6,53.79,-27,2023,94,58.49,61.82,41.84,67.19,51.42,70.2,2022
122,Kyrgyzstan,49.91,48.13,47.25,50.19,54.91,49.09,-50,2023,72,64.25,59.9,48.64,68.86,74.83,69.0,2022
123,Nigeria,49.56,51.96,44.12,50.54,37.38,63.8,6,2023,129,46.79,45.15,36.39,53.8,28.75,69.83,2022
124,Democratic Republic of Congo,48.55,51.03,44.36,52.0,35.42,59.94,1,2023,125,47.66,51.33,41.43,60.88,24.34,60.3,2022
125,Angola,48.3,43.57,31.79,51.21,60.2,54.71,-26,2023,99,57.17,52.83,35.03,61.11,63.87,73.0,2022
126,Zimbabwe,48.17,42.08,37.58,57.39,42.98,60.8,11,2023,137,44.94,40.3,32.4,54.17,43.34,54.5,2022
127,Guatemala,48.12,42.64,40.09,64.15,36.15,57.58,-3,2023,124,47.94,46.06,33.67,68.86,32.12,59.0,2022
128,Mexico,47.98,55.38,47.35,66.32,23.68,47.16,-1,2023,127,47.57,58.18,43.37,65.79,11.02,59.5,2022
129,Singapore,47.88,38.75,42.4,27.36,78.89,51.99,10,2023,139,44.23,39.09,29.21,34.21,69.39,49.25,2022
130,Ethiopia,47.7,50.25,43.14,62.64,38.82,43.64,-16,2023,114,50.53,50.65,45.77,63.66,35.29,57.29,2022
131,Rwanda,46.58,40.0,34.8,58.87,40.91,58.33,5,2023,136,45.18,42.12,31.89,57.89,38.76,55.25,2022
132,Philippines,46.21,43.96,40.2,52.2,37.3,57.39,15,2023,147,41.84,44.44,23.13,54.97,24.83,61.83,2022
133,Uganda,46.08,45.75,39.8,54.34,30.52,60.0,-1,2023,132,46.35,44.7,36.99,60.96,33.09,56.0,2022
134,Kazakhstan,45.87,44.06,36.03,44.34,45.54,59.37,-12,2023,122,48.28,43.52,29.8,51.93,63.85,52.3,2022
135,Sri Lanka,45.85,40.94,48.53,43.4,54.32,42.05,11,2023,146,42.13,40.91,27.04,53.07,41.37,48.25,2022
136,Algeria,45.74,42.14,36.13,46.09,51.72,52.6,-2,2023,134,45.53,41.21,32.4,54.17,44.02,55.88,2022
137,Uzbekistan,45.73,45.52,38.4,52.2,48.98,43.56,-4,2023,133,44.74,44.75,35.71,50.88,44.03,53.33,2022
138,Cameroon,45.58,42.5,35.99,44.07,46.58,58.77,-20,2023,118,49.1,48.05,35.71,56.89,37.25,67.57,2022
139,Colombia,45.23,55.63,35.05,64.1,34.01,37.37,6,2023,145,42.43,44.7,32.27,60.42,24.4,50.38,2022
140,Hong Kong,44.86,40.43,45.89,38.32,43.15,56.51,8,2023,148,41.64,40.5,35.9,42.58,31.78,57.45,2022
141,Somalia,44.24,53.44,44.49,43.63,28.5,51.14,-1,2023,140,44.01,51.03,41.22,47.72,18.27,61.8,2022
142,Brunei,44.2,49.84,34.8,30.66,75.83,29.88,2,2023,144,42.53,40.61,30.61,28.51,78.91,34.0,2022
143,Tanzania,44.02,42.97,33.33,31.6,58.78,53.41,-20,2023,123,48.28,43.88,32.65,45.09,60.56,59.2,2022
146,Jordan,42.79,47.71,34.64,37.74,61.68,32.2,-26,2023,120,48.66,40.0,32.65,41.23,63.4,66.0,2022
147,Cambodia,42.02,38.5,27.84,46.42,40.05,57.27,-5,2023,142,43.48,42.42,27.96,49.65,34.96,62.4,2022
148,Sudan,40.83,42.08,28.43,31.45,62.05,40.15,3,2023,151,40.96,47.05,29.97,41.45,35.35,51.0,2022
149,Libya,40.22,49.0,34.31,30.19,42.36,45.23,-6,2023,143,43.16,54.42,34.9,44.91,36.58,45.0,2022
150,Pakistan,39.95,42.71,37.25,48.11,23.57,48.11,7,2023,157,37.99,39.57,31.92,53.26,17.75,47.43,2022
151,Azerbaijan,39.93,35.45,25.91,38.95,49.35,50.0,3,2023,154,39.4,37.66,23.76,48.25,28.48,58.86,2022
152,Afghanistan,39.75,48.96,44.93,42.77,31.41,30.68,4,2023,156,38.27,44.65,43.88,42.54,16.96,43.33,2022
153,Tajikistan,39.06,34.17,37.09,51.57,36.3,36.17,-1,2023,152,40.26,33.79,29.85,48.68,42.96,46.0,2022
154,Kuwait,38.84,41.25,24.51,30.19,77.78,20.45,4,2023,158,37.87,32.73,19.39,36.84,73.41,27.0,2022
155,Oman,37.87,36.25,33.82,15.09,66.11,38.07,8,2023,163,35.99,32.73,23.98,18.42,59.82,45.0,2022
156,Palestine,37.86,40.47,40.2,44.34,27.95,36.36,14,2023,170,28.98,35.45,15.82,36.4,20.74,36.5,2022
157,Belarus,37.17,32.34,47.67,28.07,29.45,48.3,-4,2023,153,39.62,32.93,48.75,37.23,18.85,60.33,2022
158,Nicaragua,37.09,35.81,45.49,28.21,31.65,44.32,2,2023,160,37.09,37.45,38.78,31.75,27.68,49.8,2022
159,Venezuela,36.99,34.89,35.74,34.82,40.96,38.53,0,2023,159,37.78,33.7,31.73,44.74,31.22,47.5,2022
160,Laos,36.66,36.04,33.33,25.47,50.19,38.26,1,2023,161,36.64,36.06,20.92,31.58,50.64,44.0,2022
161,India,36.62,33.65,34.15,42.92,27.12,45.27,-11,2023,150,41.0,40.76,30.36,57.02,20.61,56.25,2022
162,Djibouti,35.87,39.25,25.49,34.53,51.9,28.18,2,2023,164,35.75,32.73,16.12,37.72,54.56,37.6,2022
163,Bangladesh,35.31,39.06,36.11,35.22,29.6,36.55,-1,2023,162,36.63,42.12,32.48,44.15,15.88,48.5,2022
164,Russia,34.77,32.43,36.17,34.51,31.82,38.94,-9,2023,155,38.82,36.36,34.84,44.61,27.0,51.29,2022
166,Egypt,33.37,29.63,31.96,34.72,31.02,39.55,2,2023,168,30.23,30.91,23.47,34.87,17.64,44.25,2022
167,Iraq,32.94,39.25,28.04,31.13,29.9,36.36,5,2023,172,28.59,34.14,20.07,29.82,18.27,40.67,2022
168,Yemen,32.78,37.5,30.39,40.57,21.37,34.09,1,2023,169,29.14,33.03,27.55,38.6,11.54,35.0,2022
169,Honduras,32.65,40.0,33.33,39.94,27.61,22.37,-4,2023,165,34.61,33.33,31.63,36.84,40.22,31.0,2022
170,Saudi Arabia,32.43,37.19,33.33,21.7,39.8,30.11,-4,2023,166,33.71,37.27,33.67,22.37,38.75,36.5,2022
171,Bahrain,30.59,30.63,25.25,21.93,41.64,33.52,-4,2023,167,30.97,35.15,21.43,28.95,29.65,39.67,2022
172,Cuba,29.0,32.85,35.73,14.36,32.14,29.94,1,2023,173,27.32,27.27,39.8,15.79,26.24,27.5,2022
173,Myanmar,28.26,35.75,40.98,20.19,19.6,24.77,3,2023,176,25.03,40.4,29.25,20.18,4.63,30.67,2022
174,Eritrea,27.86,33.13,26.96,23.43,29.61,26.16,5,2023,179,19.62,22.22,19.73,25.15,11.36,19.67,2022
175,Syria,27.22,33.65,25.49,24.34,23.07,29.55,-4,2023,171,28.94,33.51,27.62,33.58,13.39,36.57,2022
176,Turkmenistan,25.82,23.25,20.39,29.62,46.53,9.32,1,2023,177,25.01,25.0,11.73,29.61,35.69,23.0,2022
177,Iran,24.81,33.67,30.51,20.17,23.62,16.06,1,2023,178,23.22,34.14,21.32,26.71,13.61,23.78,2022
178,Vietnam,24.58,23.75,17.16,18.4,30.66,32.95,-4,2023,174,26.11,32.32,18.71,27.49,17.37,34.67,2022
179,China,22.97,26.06,29.51,17.36,24.87,17.07,-4,2023,175,25.17,27.45,26.02,23.25,15.84,33.3,2022
180,North Korea,21.72,26.56,21.57,22.64,33.25,4.6,0,2023,180,13.92,22.42,0.0,22.81,12.38,12.0,2022
